OBJECTID,StaType,StnType,ZipCode,State,City,Address,StationName,lon,lat,Code
44,Station Building (with waiting room),BUS,18101,PA,Allentown,110 N 6th Street,"Allentown, PA",-75.471521,40.60405,AWN
45,Station Building (with waiting room),BUS,97814,OR,Baker City,515 Campbell Street,"Baker City, OR",-117.813137,44.781551,BAK
48,Station Building (with waiting room),BUS,4401,ME,Bangor,1039 Union Street,"Bangor, ME",-68.808747,44.816614,BAN
51,Curbside Bus Stop only (no shelter),BUS,92311,CA,Barstow,1611 East Main St,"Barstow, CA",-116.998434,34.891277,BBS
53,Curbside Bus Stop only (no shelter),BUS,97720,OR,Buchanan,42456 U.S. Highway 20,"Buchanan, OR",-118.628407,43.642314,BCH
55,Station Building (with waiting room),BUS,48708,MI,Bay City,1124 Washington Avenue,"Bay City, MI",-83.886922,43.601847,BCY
56,Curbside Bus Stop only (no shelter),BUS,5733,VT,Brandon,20 Park Street,"Brandon, VT",-73.08709,43.798342,BDN
57,Curbside Bus Stop only (no shelter),BUS,34212,FL,Bradenton,8100 FL-64,"Bradenton-Ellenton, FL",-82.457451,27.48585,BDT
58,Curbside Bus Stop only (no shelter),BUS,54107,WI,Bonduel,102 Express Way,"Bonduel, WI",-88.446964,44.729865,BDU
62,Curbside Bus Stop only (no shelter),BUS,61080,IL,South Beloit,15766 Manchester Road,"South Beloit, IL",-88.989116,42.490067,BET
64,Curbside Bus Stop only (no shelter),BUS,4915,ME,Belfast,22 Belmont Avenue,"Belfast, ME",-69.025984,44.422692,BFT
65,Curbside Bus Stop only (no shelter),BUS,82834,WY,Buffalo,187 US Hwy 16,"Buffalo, WY",-106.65979,44.35732,BFW
67,Curbside Bus Stop only (no shelter),BUS,49307,MI,Big Rapids,14219 Northland Drive,"Big Rapids, MI",-85.483612,43.673347,BGP
69,Curbside Bus Stop only (no shelter),BUS,97712,OR,Brothers,34100 U.S. Highway 20,"Brothers, OR",-120.603551,43.814035,BHS
70,Curbside Bus Stop only (no shelter),BUS,3570,NH,Berlin,318 Glen Avenue,"Berlin, NH",-71.18743,44.45904,BIN
71,Curbside Bus Stop only (no shelter),BUS,15715,PA,Big Run,401 East Main Street,"Big Run, PA",-78.870218,40.968716,BIR
72,Station Building (with waiting room),BUS,97415,OR,Brookings,Highway 101 & 5th Street,"Brookings, OR",-124.288311,42.054793,BKO
73,Curbside Bus Stop only (no shelter),BUS,97106,OR,Banks,118 Sunset Avenue,"Banks, OR",-123.114035,45.617864,BKS
76,Platform with Shelter,BUS,24061,VA,Blacksburg,291 Alumni Mall,"Blacksburg, VA",-80.418368,37.229907,BLK
77,Curbside Bus Stop only (no shelter),BUS,15717,PA,Blairsville,1601 Old William Penn Highway,"Blairsville, PA",-79.219778,40.444688,BLS
78,Station Building (with waiting room),BUS,5446,VT,Burlington,125 Pearl Street,"Burlington, VT",-73.214168,44.480327,BLT
81,Curbside Bus Stop only (no shelter),BUS,97701,OR,Bend,334 Hawthorne Avenue,"Bend, OR",-121.301266,44.05822,BND
84,Curbside Bus Stop only (no shelter),BUS,5201,VT,Bennington,215 Pleasant Street,"Bennington, VT",-73.19324,42.878777,BNI
86,Curbside Bus Stop only (no shelter),BUS,97720,OR,Burns,230 Hines Boulevard,"Burns, OR",-119.064431,43.583713,BNS
87,Curbside Bus Stop only (no shelter),BUS,83705,ID,Boise,3353 South Federal Way,"Boise, ID",-116.189037,43.571635,BOI
91,Curbside Bus Stop only (no shelter),BUS,53913,WI,Baraboo,Commerce Parkway & Gateway Drive,"Baraboo, WI",-89.773676,43.459349,BRB
93,Platform only (no shelter),BUS,2809,RI,Bristol,147 Thames Street,"Bristol, RI",-71.277462,41.668627,BRI
98,Station Building (with waiting room),BUS,77802,TX,Bryan,3370 Texas Avenue,"Bryan, TX",-96.210055,30.382219,BRY
101,Station Building (with waiting room),BUS,70802,LA,Baton Rouge,1253 Florida Boulevard,"Baton Rouge, LA",-91.176374,30.449741,BTR
102,Station Building (with waiting room),BUS,5403,VT,South Burlington,1200 Airport Drive,"South Burlington, VT",-73.15546,44.469865,BTV
104,Curbside Bus Stop only (no shelter),BUS,93427,CA,Buellton,237 East Highway 246,"Buellton, CA",-120.186595,34.61066,BUL
106,Curbside Bus Stop only (no shelter),BUS,81211,CO,Buena Vista,117 N Railroad St.,"Buena Vista, CO",-106.131059,38.842897,BUV
107,Platform only (no shelter),BUS,97731,OR,Beaver Marsh,100350 Highway 97,"Beaver Marsh, OR",-121.803189,43.134572,BVM
108,Curbside Bus Stop only (no shelter),BUS,97225,OR,Beaverton,10470 Southwest Barnes Road,"Beaverton, OR",-122.78217,45.510223,BVT
112,Station Building (with waiting room),BUS,82601,WY,Casper,601 North Center Street,"Casper, WY",-106.324772,42.856427,CAS
113,Curbside Bus Stop only (no shelter),BUS,3818,NH,Conway,13 West Main Street,"Conway, NH",-71.126573,43.978298,CAY
114,Curbside Bus Stop only (no shelter),BUS,81224,CO,Crested Butte,306 6th Street,"Crested Butte, CO",-106.980905,38.870357,CBC
115,Curbside Bus Stop only (no shelter),BUS,97110,OR,Cannon Beach,1170 South Hemlock Street,"Cannon Beach, OR",-123.961842,45.889496,CBO
118,Curbside Bus Stop only (no shelter),BUS,97420,OR,Coos Bay,126 East Market Avenue,"Coos Bay, OR",-124.213694,43.369039,CBY
119,Curbside Bus Stop only (no shelter),BUS,92230,CA,Cabazon,49500 Seminole Drive,"Cabazon, CA",-116.798713,33.921492,CBZ
120,Curbside Bus Stop only (no shelter),BUS,21613,MD,Cambridge,100 Heron Boulevard,"Cambridge, MD",-76.048392,38.561752,CDE
122,Curbside Bus Stop only (no shelter),BUS,4856,ME,Rockport,20 Commercial Street,"Camden-Rockport, ME",-69.078634,44.199095,CDN
123,Curbside Bus Stop only (no shelter),BUS,49319,MI,Cedar Springs,4010 17 Mile Road,"Cedar Springs, MI",-85.570486,43.219603,CDS
125,Station Building (with waiting room),BUS,16830,PA,Clearfield,314 East Cherry Street,"Clearfield, PA",-78.43533,41.021095,CFD
126,Curbside Bus Stop only (no shelter),BUS,99111,WA,Colfax,610 South Main St.,"Colfax, WA",-117.365156,46.875679,CFX
127,Curbside Bus Stop only (no shelter),BUS,93614,CA,Coarsegold,35305 Highway 41,"Coarsegold, CA",-119.699676,37.261897,CGD
128,Curbside Bus Stop only (no shelter),BUS,49721,MI,Cheboygan,403 North Huron Street,"Cheboygan, MI",-84.476287,45.646723,CHB
129,Station Building (with waiting room),BUS,82007,WY,Cheyenne,3306 W College Drive,"Cheyenne, WY",-104.84869,41.10117,CHD
131,Station Building (with waiting room),BUS,49720,MI,Charlevoix,103 Bridge Park Drive,"Charlevoix, MI",-85.257941,45.318448,CHL
133,Curbside Bus Stop only (no shelter),BUS,97624,OR,Chiloquin,34333 Highway 97,"Chiloquin, OR",-121.883152,42.535691,CHN
134,Curbside Bus Stop only (no shelter),BUS,54729,WI,Chippewa Falls,2750 120th Street,"Chippewa Falls, WI",-91.427794,44.883096,CHP
141,Curbside Bus Stop only (no shelter),BUS,49601,MI,Cadillac,951 Casa Road,"Cadillac, MI",-85.389748,44.270402,CLC
144,Platform with Shelter,BUS,91711,CA,Claremont,200 West First Street,"Claremont, CA",-117.716857,34.094469,CLM
147,Curbside Bus Stop only (no shelter),BUS,48617,MI,Clare,10197 South Clare Avenue,"Clare, MI",-84.767465,43.840968,CLR
149,Curbside Bus Stop only (no shelter),BUS,95425,CA,Cloverdale,501 Asti Road,"Cloverdale, CA",-123.011847,38.79811,CLV
152,Station Building (with waiting room),BUS,3301,NH,Concord,30 Stickney Avenue,"Concord, NH",-71.534677,43.212748,CNH
157,Curbside Bus Stop only (no shelter),BUS,80905,CO,Colorado Springs,S Tejon St and I-25,"Colorado Springs, CO",-104.823923,38.814882,COS
161,Curbside Bus Stop only (no shelter),BUS,95682,CA,Cameron Park,3952 Cambridge Rd,"Cameron Park, CA",-120.998594,38.658499,CPC
163,Curbside Bus Stop only (no shelter),BUS,95531,CA,Crescent City,1001 Front Street   ,"Crescent City, CA",-124.193475,41.752373,CRC
166,Station Building (with waiting room),BUS,37043,TN,Clarksville,750 S Gateway Plaza Blvd,"Clarksville, TN",-87.217388,36.524485,CRK
167,Curbside Bus Stop only (no shelter),BUS,93923,CA,Carmel,3645 Rio Road,"Carmel, CA",-121.908797,36.539033,CRM
172,Curbside Bus Stop only (no shelter),BUS,97733,OR,Crescent,136620 Highway 97,"Crescent, OR",-121.695659,43.462975,CSO
174,Curbside Bus Stop only (no shelter),BUS,13617,NY,Canton,21 Miner Street,"Canton, NY",-75.170827,44.594198,CTO
175,Curbside Bus Stop only (no shelter),BUS,13617,NY,Canton,34 Cornell Drive,"Canton, NY",-75.184956,44.603306,CTS
176,Curbside Bus Stop only (no shelter),BUS,21502,MD,Cumberland,12401 Willowbrook Road SE,"Cumberland, MD",-78.730438,39.650452,CUA
179,Curbside Bus Stop only (no shelter),BUS,86322,AZ,Camp Verde,1897 Pueblo Ridge,"Camp Verde, AZ",-111.886244,34.580541,CVD
180,Station Building (with waiting room),BUS,97330,OR,Corvallis,508 Southwest Monroe Ave,"Corvallis, OR",-123.263452,44.564907,CVI
181,Curbside Bus Stop only (no shelter),BUS,97523,OR,Cave Junction,406 Redwood Coast Highway,"Cave Junction, OR",-123.647,42.163002,CVJ
182,Curbside Bus Stop only (no shelter),BUS,97331,OR,Corvallis,Southwest Jefferson Way,"Corvallis, OR",-123.272751,44.564411,CVO
184,Curbside Bus Stop only (no shelter),BUS,5446,VT,Colchester,Highway 7 at Brentwood Drive,"Colchester, VT",-73.165387,44.594999,CVT
188,Station Building (with waiting room),BUS,75202,TX,Dallas,205 South Lamar Street,"Dallas, TX",-96.804121,32.778637,DAG
190,Curbside Bus Stop only (no shelter),BUS,4543,ME,Damariscotta,167 Main Street,"Damariscotta, ME",-69.531009,44.032398,DAM
192,Station Building (with waiting room),BUS,45426,OH,Trotwood,5136 Salem Avenue,"Dayton-Trotwood, OH",-84.27806,39.81762,DAT
194,Station Building (with waiting room),BUS,15801,PA,Du Bois,4900 Rockton Road,"Du Bois, PA",-78.72441,41.111736,DBI
195,Station Building (with waiting room),BUS,94588,CA,Pleasanton,5801 Owens Drive,"Dublin-Pleasanton, CA",-121.897697,37.702833,DBP
196,Curbside Bus Stop only (no shelter),BUS,98368,WA,Discovery Bay,282624 U.S. Highway 101,"Discovery Bay, WA",-122.887334,47.987795,DBY
197,Curbside Bus Stop only (no shelter),BUS,33525,FL,Dade City,14206 Hwy 98 Bypass,"Dade City, FL",-82.184459,28.364669,DDE
204,Curbside Bus Stop only (no shelter),BUS,82633,WY,Douglas,1108 West Yellowstone Hwy,"Douglas, WY",-105.403907,42.762421,DGS
207,Curbside Bus Stop only (no shelter),BUS,13630,NY,De Kalb Junction,4329 U.S. Highway 11,"De Kalb Junction, NY",-75.274378,44.504682,DKJ
211,Curbside Bus Stop only (no shelter),BUS,15626,PA,Delmont,6583 U.S. Highway 22,"Delmont, PA",-79.580374,40.399029,DLT
217,Curbside Bus Stop only (no shelter),BUS,54415,WI,De Pere,100 Lawrence Dr,"Green Bay, WI",-88.088426,44.451367,DPE
221,Curbside Bus Stop only (no shelter),BUS,97911,OR,Drewsey,178 U.S. Highway 20,"Drewsey, OR",-118.357319,43.778199,DRW
222,Station Building (with waiting room),BUS,55802,MN,Duluth,228 West Michigan Street,"Duluth, MN",-92.101209,46.783872,DUL
224,Curbside Bus Stop only (no shelter),BUS,55812,MN,Duluth,1120 Kirby Drive,"Duluth, MN",-92.086097,46.817841,DUU
225,Curbside Bus Stop only (no shelter),BUS,61834,IL,Danville,379 Lynch Road,"Danville, IL",-87.540521,40.122053,DVI
227,Station Building (with waiting room),BUS,52801,IA,Davenport,304 W. River Drive,"Davenport, IA",-90.57779,41.52075,DVP
229,Curbside Bus Stop only (no shelter),BUS,32118,FL,Daytona Beach,100 North Atlantic Avenue,"Daytona Beach, FL",-81.008922,29.228923,DYA
231,Curbside Bus Stop only (no shelter),BUS,15931,PA,Ebensburg,202 West High Street,"Ebensburg, PA",-78.726152,40.485126,EBN
235,Curbside Bus Stop only (no shelter),BUS,95501,CA,Eureka,6th and C Streets,"Eureka, CA",-124.16933,40.800739,EKA
236,Curbside Bus Stop only (no shelter),BUS,95758,CA,Elk Grove,9180 Harbour Point Drive,"Elk Grove, CA",-121.480807,38.424746,EKG
238,Station Building (with waiting room),BUS,79901,TX,El Paso,200 West San Antonio Avenue,"El Paso, TX",-106.489938,31.756732,ELB
241,Curbside Bus Stop only (no shelter),BUS,97138,OR,Elsie,42362 US Highway 26,"Elsie, OR",-123.615101,45.886845,ELS
244,Curbside Bus Stop only (no shelter),BUS,49829,MI,Escanaba,2901 27th Avenue North,"Escanaba, MI",-87.089868,45.779858,EMI
247,Curbside Bus Stop only (no shelter),BUS,95318,CA,El Portal,11136 Highway 140,"El Portal, CA",-119.765742,37.678454,EPL
249,Curbside Bus Stop only (no shelter),BUS,90245,CA,El Segundo,700 South Douglas Street,"El Segundo, CA",-118.383533,33.906609,ESG
251,Curbside Bus Stop only (no shelter),BUS,21601,MD,Easton,29137 Newman Road,"Easton, MD",-76.064904,38.811393,ESN
253,Station Building (with waiting room),BUS,97401,OR,Springfield,355 South A Street,"Eugene-Springfield, OR",-123.021249,44.045359,EUB
254,Curbside Bus Stop only (no shelter),BUS,54702,WI,Eau Claire,642 University Drive,"Eau Claire, WI",-91.506339,44.796558,EUC
256,Curbside Bus Stop only (no shelter),BUS,97403,OR,Eugene,1515 Agate Street,"Eugene, OR",-123.069628,44.042787,EUO
257,Curbside Bus Stop only (no shelter),BUS,13637,NY,Evans Mills,8650 Leray Street,"Evans Mills, NY",-75.799444,44.08427,EVM
258,Station Building (with waiting room),BUS,47708,IN,Evansville,119 Northwest 6th Street,"Evansville, IN",-87.569534,37.973786,EVN
260,Curbside Bus Stop only (no shelter),BUS,82930,WY,Evanston,106 North 3rd Street,"Evanston, WY",-110.957598,41.264175,EVY
266,Station Building (with waiting room),BUS,2721,MA,Fall River,118 4th Street,"Fall River, MA",-71.154432,41.698447,FAV
269,Curbside Bus Stop only (no shelter),BUS,80528,CO,Fort Collins,4308 East Harmony Road,"Fort Collins, CO",-104.996531,40.524231,FCC
270,Station Building (with waiting room),BUS,54937,WI,Fond du Lac,625 West Rolling Meadows Drive,"Fond du Lac, WI",-88.476718,43.755768,FDL
273,Station Building (with waiting room),BUS,86001,AZ,Flagstaff,880 East Butler Ave.,"Flagstaff, AZ",-111.638801,35.192292,FGG
274,Curbside Bus Stop only (no shelter),BUS,76544,TX,Fort Cavazos,"Building 18010, 48th Street","Fort Cavazos, TX",-97.766812,31.141597,FHD
275,Curbside Bus Stop only (no shelter),BUS,93015,CA,Fillmore,718 West Ventura Street,"Fillmore, CA",-118.918319,34.396009,FIL
284,Station Building (with waiting room),BUS,21704,MD,Frederick,100 South East Street,"Frederick, MD",-77.40558,39.411855,FRC
286,Curbside Bus Stop only (no shelter),BUS,80421,CO,Fairplay,640 US Highway 285,"Fairplay, CO",-105.991608,39.225516,FRP
287,Curbside Bus Stop only (no shelter),BUS,21705,MD,Frederick,1341 Hughes Ford Road,"Frederick, MD",-77.382299,39.416261,FRR
288,Curbside Bus Stop only (no shelter),BUS,94538,CA,Fremont,42801 Mission Blvd,"Fremont, CA",-121.92364,37.53915,FRT
289,Curbside Bus Stop only (no shelter),BUS,21532,MD,Frostburg,101 Braddock Road,"Frostburg, MD",-78.933168,39.6489,FSB
290,Curbside Bus Stop only (no shelter),BUS,93623,CA,Fish Camp,1122 Highway 41,"Fish Camp, CA",-119.635019,37.472699,FSH
291,Curbside Bus Stop only (no shelter),BUS,97439,OR,Florence,93100 Oregon Coast Highway,"Florence, OR",-124.1156,44.160514,FSP
292,Curbside Bus Stop only (no shelter),BUS,95540,CA,Fortuna,719 South Fortuna Blvd,"Fortuna, CA",-124.146188,40.583672,FTA
295,Curbside Bus Stop only (no shelter),BUS,33917,FL,Fort Myers,17308 Park 78 Drive,"Fort Myers, FL",-81.81506,26.714124,FTM
302,Station Building (with waiting room),BUS,27350,NC,Goldsboro,103 North Carolina Street,"Goldsboro, NC",-78.003337,35.385675,GBO
303,Curbside Bus Stop only (no shelter),BUS,95542,CA,Garberville,924 Redwood Drive,"Garberville, CA",-123.79523,40.097719,GBV
304,Platform with Shelter,BUS,54302,WI,Green Bay,901 University Avenue,"Green Bay, WI",-88.00276,44.517053,GBY
305,Curbside Bus Stop only (no shelter),BUS,86023,AZ,Grand Canyon Village,202 Village Loop Drive,"Grand Canyon Village, AZ",-112.144648,36.05364,GCB
309,Curbside Bus Stop only (no shelter),BUS,99224,WA,Spokane,9000 West Airport Drive,"Spokane, WA",-117.536887,47.626646,GEG
313,Curbside Bus Stop only (no shelter),BUS,97301,OR,Gearhart,3453 U.S. Highway 101 North,"Gearhart - Northbound, OR",-123.911654,46.025188,GHN
314,Curbside Bus Stop only (no shelter),BUS,97301,OR,Gearhart,3518 U.S. Highway 101 North,"Gearhart - Southbound, OR",-123.912012,46.025529,GHT
315,Curbside Bus Stop only (no shelter),BUS,97737,OR,Gilchrist,138303 Highway 97,"Gilchrist, OR",-121.687175,43.477437,GIL
321,Curbside Bus Stop only (no shelter),BUS,77550,TX,Galveston,123 Rosenberg Street,"Galveston, TX",-94.796849,29.306615,GLS
322,Curbside Bus Stop only (no shelter),BUS,95020,CA,Gilroy,7250 Monterey Street,"Gilroy, CA",-121.566798,37.003961,GLY
325,Station Building (with waiting room),BUS,32609,FL,Gainesville,2340 North Main Street,"Gainesville, FL",-82.323379,29.673652,GNF
326,Curbside Bus Stop only (no shelter),BUS,15601,PA,Greensburg,41 Bell Way,"Greensburg, PA",-79.54705,40.302773,GNG
328,Platform only (no shelter),BUS,97439,OR,Florence,1950 21st St,"Florence, OR",-124.099324,43.984965,GOF
329,Curbside Bus Stop only (no shelter),BUS,97028,OR,Government Camp,Milepost 54 Mount Hood Highway,"Government Camp, OR",-121.744822,45.302445,GOV
332,Curbside Bus Stop only (no shelter),BUS,97347,OR,Grand Ronde,9605 Grand Ronde Rd,"Grand Ronde, OR",-123.614009,45.074259,GRC
333,Station Building (with waiting room),BUS,80631,CO,Greeley,101 11th Avenue,"Greeley, CO",-104.697745,40.433716,GRE
334,Curbside Bus Stop only (no shelter),BUS,97080,OR,Gresham,1200 NE 8th Street,"Gresham, OR",-122.418117,45.501806,GRH
336,Curbside Bus Stop only (no shelter),BUS,97347,OR,Grand Ronde,27100 Salmon River Hwy,"Grand Ronde, OR",-123.581015,45.058588,GRM
337,Station Building (with waiting room),BUS,27834,NC,Greenville,600 South Pitt Street,"Greenville, NC",-77.377078,35.610198,GRN
341,Station Building (with waiting room),BUS,46402,IN,Gary,100 West 4th Avenue,"Gary, IN",-87.338949,41.604269,GRY
343,Curbside Bus Stop only (no shelter),BUS,95543,CA,Gasquet,10350 Highway 199,"Gasquet, CA",-123.969462,41.84561,GSQ
345,Curbside Bus Stop only (no shelter),BUS,97526,OR,Grants Pass,500 N.W. 6 Street,"Grants Pass, OR",-123.324914,42.442839,GTP
346,Curbside Bus Stop only (no shelter),BUS,21536,MD,Grantsville,3000 Chestnut Ridge Road,"Grantsville, MD",-79.100326,39.692354,GTV
349,Curbside Bus Stop only (no shelter),BUS,81230,CO,Gunnison,411 East Tomichi Street,"Gunnison, CO",-106.922057,38.544173,GUN
351,Curbside Bus Stop only (no shelter),BUS,83530,ID,Grangeville,901 West Main Street,"Grangeville, ID",-116.131574,45.927188,GVI
352,Curbside Bus Stop only (no shelter),BUS,13642,NY,Gouverneur,49 East Main Street,"Gouverneur, NY",-75.467999,44.335612,GVR
354,Curbside Bus Stop only (no shelter),BUS,49738,MI,Grayling,2615 South I-75 Business Loop,"Grayling, MI",-84.708063,44.64765,GYG
355,Curbside Bus Stop only (no shelter),BUS,49734,MI,Gaylord,1041 West Main Street,"Gaylord, MI",-84.691914,45.027057,GYL
356,Curbside Bus Stop only (no shelter),BUS,21740,MD,Hagerstown,123 West Franklin Street,"Hagerstown, MD",-77.722497,39.64466,HAG
364,Curbside Bus Stop only (no shelter),BUS,95448,CA,Healdsburg,149 Healdsburg Avenue,"Healdsburg, CA",-122.869456,38.606841,HEA
370,Curbside Bus Stop only (no shelter),BUS,49931,MI,Houghton,Townsend Drive and Hubbell Street,"Houghton, MI",-88.54963,47.118726,HGH
371,Curbside Bus Stop only (no shelter),BUS,48629,MI,Houghton Lake,9391 West Lake City Road,"Houghton Lake, MI",-84.80111,44.335421,HGL
372,Curbside Bus Stop only (no shelter),BUS,13655,NY,Hogansburg,935 State Highway 37,"Hogansburg, NY",-74.640035,44.966824,HGS
375,Curbside Bus Stop only (no shelter),BUS,95531,CA,Crescent City,2100 Highway 199,"Hiouchi, CA",-124.072165,41.792839,HIO
376,Curbside Bus Stop only (no shelter),BUS,49930,MI,Hancock,125 Quincy Street,"Hancock, MI",-88.580295,47.126982,HKM
377,Curbside Bus Stop only (no shelter),BUS,97006,OR,Hillsboro,2435 NE Town Center Drive,"Hillsboro, OR",-122.866305,45.537276,HLB
384,Curbside Bus Stop only (no shelter),BUS,21750,MD,Hancock,434 East Main Street,"Hancock, MD",-78.154315,39.695275,HNK
385,Station Building (with waiting room),BUS,77002,TX,Houston,2121 Main Street,"Houston, TX",-95.371614,29.748302,HOG
388,Station Building (with waiting room),BUS,97031,OR,Hood River,110 Railroad Street,"Hood River, OR",-121.51162,45.709641,HOO
392,Curbside Bus Stop only (no shelter),BUS,97906,OR,Harper,3459 U.S. Highway 20,"Harper, OR",-117.605297,43.855307,HRP
393,Curbside Bus Stop only (no shelter),BUS,95521,CA,Arcata,L K Wood Boulevard,"Arcata, CA",-124.081496,40.873347,HSU
398,Curbside Bus Stop only (no shelter),BUS,28532,NC,Havelock,201 Tourist Center Drive,"Havelock, NC",-76.926115,34.891191,HVL
399,Curbside Bus Stop only (no shelter),BUS,49329,MI,Howard City,117 West Williams Street,"Howard City, MI",-85.469631,43.398305,HWC
400,Curbside Bus Stop only (no shelter),BUS,92201,CA,Indio,82120 Highway 111,"Indio, CA",-116.233132,33.714863,IDO
402,Curbside Bus Stop only (no shelter),BUS,15705,PA,Indiana,711 Pratt Drive,"Indiana, PA",-79.160006,40.61314,INA
408,Station Building (with waiting room),BUS,28540,NC,Jacksonville,1300 North Marine Boulevard,"Jacksonville, NC",-77.40727,34.76693,JNC
409,Curbside Bus Stop only (no shelter),BUS,93529,CA,June Lake,Junction U.S. Highway 395 & State Highway 158,"June Lake, CA",-119.053991,37.812766,JNL
410,Curbside Bus Stop only (no shelter),BUS,53038,WI,Johnson Creek,575 Linmar Lane,"Johnson Creek, WI",-88.763099,43.089988,JOC
414,Curbside Bus Stop only (no shelter),BUS,97911,OR,Juntura,5838 U.S. Highway 20,"Juntura, OR",-118.080077,43.745252,JTR
415,Station Building (with waiting room),BUS,53545,WI,Janesville,3120 North Pontiac Drive,"Janesville, WI",-88.988186,42.719995,JVL
423,Curbside Bus Stop only (no shelter),BUS,93930,CA,King City,1350 Broadway Circle,"King City, CA",-121.136344,36.202547,KGC
424,Curbside Bus Stop only (no shelter),BUS,98346,WA,Kingston,11264 State Route 104,"Kingston - Eastbound, WA",-122.496288,47.796069,KGE
425,Curbside Bus Stop only (no shelter),BUS,49649,MI,Kingsley,119 East Main Street (Hwy 113),"Kingsley, MI",-85.535201,44.584797,KGS
426,Curbside Bus Stop only (no shelter),BUS,98346,WA,Kingston,10960 State Route 104,"Kingston - Westbound, WA",-122.500484,47.802025,KGW
427,Station Building (with waiting room),BUS,76541,TX,Killeen,200 East Avenue C,"Killeen, TX",-97.728617,31.121152,KIL
431,Curbside Bus Stop only (no shelter),BUS,5751,VT,Killington,228 East Mountain Road,"Killington, VT",-72.794305,43.627005,KLT
432,Station Building (with waiting room),BUS,28504,NC,Kinston,101 East New Bern Road,"Kinston, NC",-77.584478,35.243706,KNC
434,Curbside Bus Stop only (no shelter),BUS,49752,MI,Kinross Charter Twp,6737 M-80,"Kinross Charter Twp, MI",-84.506535,46.273752,KNS
435,Curbside Bus Stop only (no shelter),BUS,21638,MD,Grasonville,3206 Main Street,"Kent Island-Grasonville, MD",-76.240827,38.966498,KNT
437,Curbside Bus Stop only (no shelter),BUS,12943,NY,Keene Valley,1770 Route 73,"Keene Valley, NY",-73.786232,44.188528,KVL
440,Station Building (with waiting room),BUS,97850,OR,La Grande,2204 East Penn Avenue ,"La Grande, OR",-118.077612,45.326472,LAE
445,Curbside Bus Stop only (no shelter),BUS,49946,MI,L'Anse,102 East Broad Street,"L'Anse, MI",-88.453159,46.756951,LAN
447,Curbside Bus Stop only (no shelter),BUS,89111,NV,Las Vegas,5757 Wayne Newton Boulevard,"Las Vegas, NV",-115.148493,36.085973,LAS
448,Station Building (with waiting room),BUS,47901,IN,Lafayette,316 North 3rd Street,"Lafayette, IN",-86.894444,40.420668,LAT
451,Curbside Bus Stop only (no shelter),BUS,91214,CA,La Crescenta,6201 Honolulu Avenue,"La Crescenta, CA",-118.266511,34.231944,LCA
454,Curbside Bus Stop only (no shelter),BUS,97367,OR,Lincoln City,1725 NW 44th St.,"Lincoln City, OR",-124.010371,44.996526,LCO
455,Curbside Bus Stop only (no shelter),BUS,88005,NM,Las Cruces,300 West Lohman Avenue,"Las Cruces, NM",-106.78006,32.3055,LCR
456,Platform with Shelter,BUS,93534,CA,Lancaster,44812 Sierra Highway,"Lancaster, CA",-118.136432,34.6963,LCS
457,Curbside Bus Stop only (no shelter),BUS,4849,ME,Lincolnville,2512 Atlantic Highway,"Lincolnville, ME",-69.008642,44.282075,LCV
461,Curbside Bus Stop only (no shelter),BUS,95585,CA,Leggett,69501 Highway 101 North,"Leggett, CA",-123.727964,39.878226,LEG
